Movimientos Conformados;;;;;
Fecha consulta:;27/04/2020;;;;
Hora consulta:;13:51;;;;
Usuario:;EDUARDO ALEJANDRO QUATTROCCHI;;;;
;;;;;
Par?metros de b?squeda:;Cuenta: 03 - CC $ 00460008727626 | Fecha desde 01/04/2020 hasta 27/04/2020 | Movimiento: D?bitos y Cr?ditos | Monto: Todos los montos;;;;
;;;;;
Fecha Mvto;Fecha Valor;Monto;Referencia;Concepto;Saldo
14/04/2020;14/04/2020;-140,32;0000004101370;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-306,40;0000001001564;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-204,27;0000001001615;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-36,89;0000000207821;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-221,72;0000002491497;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-332,57;0000002491752;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-22,47;0000004085042;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-1.128,30;0000000609301;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-30,34;0000000609421;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-41,18;0000004118396;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-53,46;0000001110125;GRAVAMEN LEY 25413 S/CRED                         ;
14/04/2020;14/04/2020;-63,08;0000001005711;GRAVAMEN LEY 25413 S/CRED                         ;7.836.113,24
15/04/2020;15/04/2020;1.433,75;0000000200947;CR.TR. CUOTAS-C-SUC 0001                          ;
15/04/2020;15/04/2020;102.982,20;0000004145551;TRANS33707366589FEDERACION PATRO                  ;
15/04/2020;15/04/2020;45.467,82;0000004150993;TRANS30682686606FLOWBOX SA                        ;
15/04/2020;15/04/2020;2.048,19;0000000097524;TR. 30612519486 RADA SUR SRL                      ;
15/04/2020;15/04/2020;2.803,44;0000008083105;TRANS33714363129HIDROVIAS DEL SUR S.A.            ;
15/04/2020;15/04/2020;6.781,91;0000000620730;CR.TR. VARIOS-V-SUC 0001                          ;
15/04/2020;15/04/2020;3.504,82;0000000097527;TR. 30715047884 CORRALON AZUL S.R.L.              ;
15/04/2020;15/04/2020;5.705,47;0000008119809;TRANS33636152949NAVIERA DEL SUR SA                ;
15/04/2020;15/04/2020;123.422,64;0000004138616;TRANS30709247235MARITIME SHIPPIN                  ;
15/04/2020;15/04/2020;12.802,21;0000008121183;TRANS30507059488RUA SA                            ;
15/04/2020;15/04/2020;17.509,89;0000002426517;TRANS30708624639ARBUE SERVICES SA                 ;
15/04/2020;15/04/2020;20.446,95;0000002426465;TRANS30708624639ARBUE SERVICES SA                 ;
15/04/2020;15/04/2020;12.511,61;0000000214023;TRANS30680789955MULTIMAR SA                       ;
15/04/2020;15/04/2020;25.281,41;0000001107290;TRANS33578648599CONSULTORES MARITIMOS SRL         ;
15/04/2020;15/04/2020;2.866,63;0000004169087;TRANS30660785538RIO TUR SRL                       ;
15/04/2020;15/04/2020;23.850,68;0000002434311;TRANS30708326573DEL GUAZU SA                      ;
15/04/2020;15/04/2020;53.292,17;0000008192945;TRANS30507950848MOLINO CA UELAS SACIFIA           ;
15/04/2020;15/04/2020;73.752,97;0000000097538;DEP.P/T.INT.M.M-LINK                              ;
15/04/2020;15/04/2020;3.043,20;0000000097539;DEP.P/T.INT.M.M-LINK                              ;
15/04/2020;15/04/2020;24.209,93;0000002620735;TRANS30707789715STAR SHIPPING ARGENTINA SA        ;
15/04/2020;15/04/2020;7.519,27;0000000223435;CR.TR. VARIOS-V-SUC 0001                          ;
15/04/2020;15/04/2020;40.389,12;0000000000688;TRANS30715751093NORDVILLE SRL                     ;
15/04/2020;15/04/2020;-372,59;0000000097545;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-5,12;0000000097546;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-8,76;0000000097547;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-3,58;0000000200947;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-257,46;0000004145551;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-113,67;0000004150993;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-7,01;0000008083105;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-16,95;0000000620730;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-14,26;0000008119809;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-308,56;0000004138616;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-32,01;0000008121183;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-43,77;0000002426517;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-51,12;0000002426465;GRAVAMEN LEY 25413 S/CRED                         ;
